名稱,練習鉤針,手沖咖啡,自己準備便當,品嘗台灣茶
實踐行動,用祖母格圖案練習鉤針,在週末練習手沖咖啡,開始為自己做上班的健康午餐便當,沖泡台灣葉茶（如：東方美人、紅玉），記錄下關於「前味、中味、後韻」的品飲筆記
開始日期,Default 設定使用者點選當日,Default 設定使用者點選當日,Default 設定使用者點選當日,Default 設定使用者點選當日
想持續多久,,,,
7 天,,,V,
14 天,V,,,Ｖ
21 天,,,,
30 天,,V,,
,,,,
結束於,,,,
,,,,
頻率,,,,
2-4 天,,V,,Ｖ
3-5 天,V,,V,
4-7 天,,,,
,,,,
每次執行時間,,,,
15 分鐘,,V,,
30 分鐘,,,,
45 分鐘,V,,V,Ｖ
60 分鐘,,,,
,,,,
執行時段,,,,
早餐前,,,,
通勤時,,,,
午休時,,V,,Ｖ
晚餐後,,,V,
睡前,V,,,
其他時段,,,,
,,,,
使用的資源,Ichigocrochet,手沖達人沖煮步驟不藏私,利用一款料理變化出 六個美味便當,新手入門泡好茶的3個秘訣
,https://www.youtube.com/@Ichigocrochet,https://www.youtube.com/watch?v=hh-l69T1wxE&pp=ygUM5omL5rKW5ZKW5ZWh,https://www.youtube.com/watch?v=HqkEIZDHBa8,https://www.youtube.com/watch?v=yUUPYTWQ9Yw
類別,生活品味,生活品味,生活品味,生活品味
