,中文,英文,備註
,偏好設定,Preference Setting,
,設定你的學習偏好，讓我們為你推薦更合適的學習內容,Set up your learning preferences to get personalized recommendations,
,,,
問題,你目前有哪些目標?,What are your current goals?,
Q1,培養與職涯發展相關的新技能,Building new skills to advance my career,
,探索個人興趣或嗜好,Exploring personal interests and hobbies,
,為特定專案或挑戰做準備,Preparing for specific projects or challenges,
,深化我已具備的專業知識,Strengthening my current expertise,
,為升學做準備,Preparing for further education,
Q2,哪種指導方式最能幫助你學習?,What type of guidance helps you learn best?,
,清楚的步驟指引，按部就班學習,Clear step-by-step guidance with a structured approach,
,喜歡自由探索，發現自己的學習路徑,Freedom to explore and find my own learning path,
,偏好透過實際專案來學習,Hands-on learning through real projects,
,希望有結構但保留彈性調整空間,Structured framework with room for flexibility,
,看到實際應用才能理解概念,Learning concepts through real-world examples and applications,
Q3,學習時間的投入?,Time investment for learning?,
,我喜歡每天抽出短時間（5-15分鐘）持續學習,Short daily sessions (5-15 minutes) for consistent progress,
,我傾向每週預留幾次較長時間（30-60分鐘）專注學習,Longer focused sessions a few times per week (30-60 minutes),
,我偏好深度學習，每週安排1-2次長時段（1小時以上）,Deep dive sessions once or twice a week (1+ hours),
,我的學習時間不規律，需要彈性的學習方式,Irregular schedule - need flexible learning options,
Q4,喜歡如何與他人互動學習?,How do you prefer to learn with others?,
,喜歡獨自學習,Learning independently on my own,
,有同儕的陪伴和互相鼓勵,Peer support and encouragement from fellow learners,
,有經驗者的指導,Mentorship and guidance from experienced professionals,
,希望能得到他人的反饋和建議,Getting feedback and suggestions from others,
,我喜歡分享知識，幫助其他學習者,Sharing knowledge and helping other learners,
Q5,哪種反饋方式能幫助你進步?,What kind of feedback helps you grow?,
,當我犯錯時得到詳細的解釋,Detailed explanations when I make mistakes,
,鼓勵性的話語以保持我的動力,Encouraging words to keep me motivated,
,能讓我深入思考的提問,Thought-provoking questions that challenge my thinking,
,了解他人如何解決類似問題的例子,Examples of how others have tackled similar problems,
,具體的改進建議和可行動的下一步指引,Specific improvement tips with clear next steps,
